DateTime,cash,shares,holdings,total,returns,cumulative_returns,commission_paid
2024-01-02,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-03,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-04,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-05,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-08,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-09,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-10,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-11,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-12,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-15,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-16,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-17,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-18,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-19,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-22,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-23,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-24,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-25,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-26,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-29,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-30,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-31,32.51,6500.00,9964.50,9997.01,-0.03%,-0.03%,2.99
2024-02-01,32.51,6500.00,10062.00,10094.51,0.98%,0.95%,0.00
2024-02-02,32.51,6500.00,9802.00,9834.51,-2.58%,-1.65%,0.00
2024-02-05,32.51,6500.00,9925.50,9958.01,1.26%,-0.42%,0.00
2024-02-06,32.51,6500.00,10549.50,10582.01,6.27%,5.82%,0.00
2024-02-07,32.51,6500.00,10790.00,10822.51,2.27%,8.23%,0.00
2024-02-08,32.51,6500.00,10926.50,10959.01,1.26%,9.59%,0.00
2024-02-19,32.51,6500.00,11030.50,11063.01,0.95%,10.63%,0.00
2024-02-20,32.51,6500.00,11024.00,11056.51,-0.06%,10.57%,0.00
2024-02-21,32.51,6500.00,11069.50,11102.01,0.41%,11.02%,0.00
2024-02-22,32.51,6500.00,11115.00,11147.51,0.41%,11.48%,0.00
2024-02-23,32.51,6500.00,11108.50,11141.01,-0.06%,11.41%,0.00
2024-02-26,32.51,6500.00,11076.00,11108.51,-0.29%,11.09%,0.00
2024-02-27,32.51,6500.00,11349.00,11381.51,2.46%,13.82%,0.00
2024-02-28,32.51,6500.00,11056.50,11089.01,-2.57%,10.89%,0.00
2024-02-29,32.51,6500.00,11446.50,11479.01,3.52%,14.79%,0.00
2024-03-01,32.51,6500.00,11537.50,11570.01,0.79%,15.70%,0.00
2024-03-04,32.51,6500.00,11589.50,11622.01,0.45%,16.22%,0.00
2024-03-05,32.51,6500.00,11570.00,11602.51,-0.17%,16.03%,0.00
