DateTime,OpenValue,CloseValue,HighValue,LowValue,Volume,ChangeRate,涨跌幅,涨跌额,amount,振幅
2025-07-08 11:30:00,125.1,124.89,125.12,124.862,216075,9.82,-0.19,-0.239,2699044704.0,0.21
2025-07-08 15:00:00,124.89,124.801,124.89,124.799,292275,13.28,-0.07,-0.089,3648680123.0,0.07
2025-07-09 11:30:00,124.793,124.78,124.892,124.707,265407,12.06,-0.02,-0.021,3311813595.0,0.15
2025-07-09 15:00:00,124.78,124.916,124.976,124.755,254258,11.55,0.11,0.136,3174699009.0,0.18
2025-07-10 11:30:00,124.916,124.759,124.972,124.741,264763,12.03,-0.13,-0.157,3305036026.0,0.18
2025-07-10 15:00:00,124.758,124.565,124.806,124.53,360940,15.79,-0.16,-0.194,4498964347.0,0.22
2025-07-11 11:30:00,124.48,124.4,124.524,124.361,327056,14.14,-0.13,-0.165,4068867186.0,0.13
2025-07-11 15:00:00,124.399,124.733,124.8,124.375,336187,14.1,0.27,0.333,4187036669.0,0.34
2025-07-14 11:30:00,124.583,124.374,124.61,124.366,281494,12.17,-0.29,-0.359,3504570218.0,0.2
2025-07-14 15:00:00,124.374,124.334,124.51,124.217,260366,10.89,-0.03,-0.04,3238110259.0,0.24
2025-07-15 11:30:00,124.512,124.79,124.812,124.512,305859,13.22,0.37,0.456,3813850044.0,0.24
2025-07-15 15:00:00,124.794,124.842,124.85,124.729,206389,8.66,0.04,0.052,2575384512.0,0.1
2025-07-16 11:30:00,124.899,124.764,124.915,124.728,223000,9.35,-0.06,-0.078,2783203272.0,0.15
2025-07-16 15:00:00,124.765,124.868,124.883,124.72,203209,8.79,0.08,0.104,2536188548.0,0.13
2025-07-17 11:30:00,124.85,124.891,124.898,124.726,202089,8.48,0.02,0.023,2522075522.0,0.14
2025-07-17 15:00:00,124.888,124.757,124.92,124.75,181017,8.22,-0.11,-0.134,2259429021.0,0.14
2025-07-18 11:30:00,124.637,124.604,124.688,124.516,251261,10.54,-0.12,-0.153,3130383122.0,0.14
2025-07-18 15:00:00,124.6,124.568,124.715,124.557,226718,9.8,-0.03,-0.036,2826054699.0,0.13
2025-07-21 11:30:00,124.46,124.226,124.46,124.171,278708,11.66,-0.27,-0.342,3462121541.0,0.23
2025-07-21 15:00:00,124.227,124.183,124.236,124.12,277218,11.63,-0.03,-0.043,3442570964.0,0.09
2025-07-22 11:30:00,124.116,124.126,124.327,124.113,312327,13.1,-0.05,-0.057,3879145175.0,0.17
2025-07-22 15:00:00,124.126,123.91,124.195,123.885,467097,19.54,-0.17,-0.216,5793582711.0,0.25
2025-07-23 11:30:00,123.46,123.329,123.53,123.001,482325,20.18,-0.47,-0.581,5943978638.0,0.43
2025-07-23 15:00:00,123.323,123.683,123.88,123.273,356083,14.9,0.29,0.354,4398716608.0,0.49
2025-07-24 11:30:00,123.48,123.115,123.48,123.106,362279,14.33,-0.46,-0.568,4463520057.0,0.3
2025-07-24 15:00:00,123.115,122.923,123.305,122.9,423212,17.75,-0.16,-0.192,5211686904.0,0.33
2025-07-25 11:30:00,122.902,123.015,123.071,122.6,539262,21.07,0.07,0.092,6624321588.0,0.38
2025-07-25 15:00:00,123.054,122.525,123.11,122.5,414216,16.18,-0.4,-0.49,5090919874.0,0.5
2025-07-28 11:30:00,122.998,123.053,123.181,122.718,391126,15.12,0.43,0.528,4808860367.0,0.38
2025-07-28 15:00:00,123.053,123.055,123.145,122.955,290923,11.25,0.0,0.002,3580230760.0,0.15
2025-07-29 11:30:00,122.999,122.587,122.999,122.505,483895,18.65,-0.38,-0.468,5940386469.0,0.4
2025-07-29 15:00:00,122.59,122.404,122.636,122.334,377562,14.56,-0.15,-0.183,4623989826.0,0.25
2025-07-30 11:30:00,122.4,122.421,122.62,122.049,460788,17.82,0.01,0.017,5635107807.0,0.47
2025-07-30 15:00:00,122.421,122.778,122.886,122.411,420522,16.21,0.29,0.357,5158077892.0,0.39
2025-07-31 11:30:00,123.06,123.275,123.494,123.042,474995,18.31,0.4,0.497,5857419204.0,0.37
2025-07-31 15:00:00,123.278,123.504,123.52,123.263,364194,13.7,0.19,0.229,4494196821.0,0.21
2025-08-01 11:30:00,123.3,123.264,123.354,123.073,406559,15.3,-0.19,-0.24,5008818315.0,0.23
2025-08-01 15:00:00,123.275,123.247,123.54,123.207,395167,15.23,-0.01,-0.017,4875915718.0,0.27
2025-08-04 11:30:00,123.551,123.565,123.726,123.387,451624,16.99,0.26,0.318,5579880805.0,0.28
2025-08-04 15:00:00,123.565,123.035,123.591,123.02,355463,13.38,-0.43,-0.53,4381788898.0,0.46
2025-08-05 11:30:00,123.05,123.271,123.278,123.018,330119,12.42,0.19,0.236,4065661484.0,0.21
2025-08-05 15:00:00,123.291,123.427,123.595,123.233,310092,11.67,0.13,0.156,3826400182.0,0.29
2025-08-06 11:30:00,123.325,123.43,123.534,123.262,256102,9.64,0.0,0.003,3160660058.0,0.22
2025-08-06 15:00:00,123.429,123.441,123.507,123.371,233656,8.75,0.01,0.011,2884317514.0,0.11
2025-08-07 11:30:00,123.568,123.573,123.833,123.471,345386,13.0,0.11,0.132,4271202924.0,0.29
2025-08-07 15:00:00,123.576,123.431,123.589,123.385,323575,12.25,-0.11,-0.142,3995654501.0,0.17
2025-08-08 11:30:00,123.523,123.401,123.677,123.379,275396,10.31,-0.02,-0.03,3401256000.0,0.24
