DateTime,OpenValue,CloseValue,HighValue,LowValue,Volume,ChangeRate,成交额,振幅,涨跌幅,涨跌额
2024-09-20,0.682,0.678,0.685,0.673,19628681,2.71,1329277362.0,1.76,-0.73,-0.005
2024-09-23,0.678,0.674,0.685,0.673,18858369,2.6,1277301347.0,1.77,-0.59,-0.004
2024-09-24,0.68,0.699,0.7,0.671,43431243,5.99,2981165528.0,4.3,3.71,0.025
2024-09-25,0.706,0.7,0.718,0.699,51417486,7.09,3643738208.0,2.72,0.14,0.001
2024-09-26,0.698,0.728,0.729,0.695,53941353,7.44,3831216709.0,4.86,4.0,0.028
2024-09-27,0.739,0.792,0.797,0.738,59440082,8.2,4525587226.0,8.1,8.79,0.064
2024-09-30,0.85,0.95,0.95,0.813,161796481,22.32,14302262250.0,17.3,19.95,0.158
2024-10-08,1.14,1.14,1.14,1.045,226048131,31.18,25494037870.0,10.0,20.0,0.19
2024-10-09,1.138,1.096,1.202,1.0,254529491,35.11,28101905067.0,17.72,-3.86,-0.044
2024-10-10,1.091,1.026,1.092,1.0,166422711,22.96,17283056908.0,8.39,-6.39,-0.07
2024-10-11,1.0,0.951,1.0,0.937,150377567,20.74,14497968236.0,6.14,-7.31,-0.075
2024-10-14,0.949,0.974,0.982,0.919,121379059,16.74,11552671984.0,6.62,2.42,0.023
2024-10-15,0.965,0.946,0.991,0.945,90770988,12.52,8785282460.0,4.72,-2.87,-0.028
2024-10-16,0.92,0.923,0.945,0.915,72079067,9.94,6684567853.0,3.17,-2.43,-0.023
2024-10-17,0.942,0.926,0.948,0.925,67513967,9.31,6330089798.0,2.49,0.33,0.003
2024-10-18,0.926,1.041,1.094,0.923,202720165,27.97,20349247671.0,18.47,12.42,0.115
2024-10-21,1.05,1.05,1.118,1.026,211365661,29.16,22498921819.0,8.84,0.86,0.009
2024-10-22,1.031,1.037,1.055,1.02,108058254,14.91,11184703344.0,3.33,-1.24,-0.013
2024-10-23,1.03,1.032,1.057,1.024,94409208,13.02,9789403027.0,3.18,-0.48,-0.005
2024-10-24,1.024,1.029,1.04,1.02,61763032,8.52,6355014708.0,1.94,-0.29,-0.003
2024-10-25,1.034,1.045,1.068,1.025,90507439,12.49,9443848529.0,4.18,1.55,0.016
2024-10-28,1.04,1.039,1.043,1.027,55268877,7.62,5719351435.0,1.53,-0.57,-0.006
2024-10-29,1.04,1.028,1.06,1.026,80476319,11.1,8374841849.0,3.27,-1.06,-0.011
2024-10-30,1.02,1.008,1.026,0.998,74257123,10.24,7513308906.0,2.72,-1.95,-0.02
2024-10-31,1.006,1.02,1.029,0.998,83446203,11.51,8484119689.0,3.08,1.19,0.012
2024-11-01,1.01,0.99,1.019,0.989,76561038,10.56,7684332121.0,2.94,-2.94,-0.03
2024-11-04,0.985,1.004,1.005,0.985,47493368,6.55,4742738468.0,2.02,1.41,0.014
2024-11-05,1.004,1.05,1.05,1.0,102512466,14.14,10620719008.0,4.98,4.58,0.046
2024-11-06,1.054,1.053,1.072,1.039,94418141,13.03,9984727021.0,3.14,0.29,0.003
2024-11-07,1.042,1.087,1.096,1.039,82894033,11.44,8807877457.0,5.41,3.23,0.034
2024-11-08,1.109,1.081,1.129,1.08,106958593,14.76,11824962228.0,4.51,-0.55,-0.006
2024-11-11,1.082,1.13,1.131,1.082,104960349,14.48,11718450054.0,4.53,4.53,0.049
2024-11-12,1.13,1.105,1.136,1.093,79043199,10.9,8818289583.0,3.81,-2.21,-0.025
2024-11-13,1.095,1.116,1.117,1.092,65326617,9.01,7211223432.0,2.26,1.0,0.011
2024-11-14,1.11,1.08,1.12,1.076,57128655,7.88,6274995283.0,3.94,-3.23,-0.036
2024-11-15,1.076,1.04,1.084,1.038,66012565,9.11,7009554623.0,4.26,-3.7,-0.04
2024-11-18,1.04,1.02,1.055,1.013,61360727,8.46,6330316157.0,4.04,-1.92,-0.02
2024-11-19,1.025,1.052,1.053,1.01,64386433,8.88,6639965510.0,4.22,3.14,0.032
2024-11-20,1.045,1.055,1.061,1.039,50197919,6.92,5271242441.0,2.09,0.29,0.003
2024-11-21,1.055,1.064,1.073,1.051,55226991,7.62,5871055971.0,2.09,0.85,0.009
2024-11-22,1.062,1.022,1.072,1.02,56633734,7.81,5919385045.0,4.89,-3.95,-0.042
2024-11-25,1.021,1.008,1.025,0.991,55630388,7.67,5592519862.0,3.33,-1.37,-0.014
2024-11-26,1.005,1.002,1.019,1.001,33543631,4.63,3383044499.0,1.79,-0.6,-0.006
2024-11-27,1.001,1.038,1.039,0.99,63550774,8.77,6462079552.0,4.89,3.59,0.036
2024-11-28,1.037,1.034,1.056,1.032,49757699,6.86,5184551820.0,2.31,-0.39,-0.004
2024-11-29,1.031,1.06,1.078,1.029,66505701,9.17,7005846737.0,4.74,2.51,0.026
2024-12-02,1.06,1.068,1.075,1.053,46738908,6.45,4985035090.0,2.08,0.75,0.008
2024-12-03,1.068,1.057,1.074,1.048,42396046,5.85,4493309559.0,2.43,-1.03,-0.011
2024-12-04,1.072,1.05,1.075,1.045,45092827,6.22,4782761421.0,2.84,-0.66,-0.007
2024-12-05,1.045,1.053,1.058,1.043,30860025,4.26,3243935626.0,1.43,0.29,0.003
2024-12-06,1.056,1.067,1.077,1.045,55304411,7.63,5883307898.0,3.04,1.33,0.014
2024-12-09,1.065,1.054,1.069,1.046,41233209,5.69,4356614224.0,2.16,-1.22,-0.013
2024-12-10,1.117,1.063,1.117,1.059,74808790,10.32,8094657637.0,5.5,0.85,0.009
2024-12-11,1.058,1.059,1.068,1.056,36739356,5.07,3895195827.0,1.13,-0.38,-0.004
2024-12-12,1.059,1.063,1.067,1.05,39639730,5.47,4198011726.0,1.61,0.38,0.004
2024-12-13,1.057,1.042,1.061,1.039,50936513,7.03,5344287953.0,2.07,-1.98,-0.021
2024-12-16,1.04,1.025,1.042,1.021,36516576,5.04,3757634732.0,2.02,-1.63,-0.017
2024-12-17,1.022,1.019,1.03,1.016,33650432,4.64,3438421305.0,1.37,-0.59,-0.006
2024-12-18,1.022,1.033,1.036,1.016,41567366,5.73,4271498746.0,1.96,1.37,0.014
2024-12-19,1.022,1.045,1.05,1.019,44524875,6.14,4621837852.0,3.0,1.16,0.012
2024-12-20,1.041,1.065,1.08,1.041,69139868,9.54,7354105377.0,3.73,1.91,0.02
2024-12-23,1.065,1.052,1.08,1.05,43811656,6.04,4663261985.0,2.82,-1.22,-0.013
2024-12-24,1.056,1.069,1.071,1.045,38451008,5.3,4072401222.0,2.47,1.62,0.017
2024-12-25,1.072,1.072,1.08,1.064,41294421,5.7,4433315326.0,1.5,0.28,0.003
2024-12-26,1.07,1.081,1.085,1.066,38092005,5.25,4108201885.0,1.77,0.84,0.009
